Year,Title,Genre,Plot,Actors,Director,Rated,Runtime,Metascore
2017,Sword Art Online the Movie: Ordinal Scale,"Animation, Action, Adventure","Kirito uncovers a conspiracy within Ordinal Scale, a popular AR game developed for a new system called The Augma.","Yoshitsugu Matsuoka, Haruka Tomatsu, Kanae Itô",Tomohiko Itô,TV-14,119 min,N/A
2017,My Little Pony: The Movie,"Animation, Adventure, Comedy","After a dark force conquers Canterlot, the Mane 6 embark on an unforgettable journey beyond Equestria where they meet new friends and exciting challenges on a quest to use the magic of friendship to save their homeland.","Emily Blunt, Kristin Chenoweth, Liev Schreiber",Jayson Thiessen,PG,99 min,39
2017,Pokémon the Movie: I Choose You!,"Animation, Action, Adventure",Ash Ketchum from Pallet Town is 10 years old today. This means he is now old enough to become a Pokémon Trainer. Ash dreams big about the adventures he will experience after receiving his first Pokémon from Professor Oak.,"Unshô Ishizuka, Rica Matsumoto, Sarah Natochenny",Kunihiko Yuyama,PG,98 min,N/A
2017,OHA Diyorum: The Movie,Comedy,Firat's car gets stolen. Firat and his friends try to get Firat's car back.,"Firat Sobutay, Melih Abuaf, Alper Rende",Ersan Özer,N/A,90 min,N/A
2017,Handsome: A Netflix Mystery Movie,"Comedy, Mystery",Gene Handsome is an LA homicide detective who tries to make sense of his life as he solves crime. Handsome's knack for solving mysteries is matched only by his inability to make sense of his own problems.,"Ava Acres, Armani GreatDane, Dino Battaglia",Jeff Garlin,TV-MA,80 min,N/A
2018,Constantine: City of Demons - The Movie,"Animation, Action, Fantasy","A decade after a tragic mistake, Chas Chandler and occult investigator John Constantine set out to cure Chas's daughter, Trish, from a demonically induced coma.","Matt Ryan, Laura Bailey, Robin Atkin Downes",Doug Murphy,R,90 min,N/A
2018,Little Horror Movie,"Horror, Mystery","Three You tubers struggling to get more views on their adventure channel, travel to the mythical city of Casablanca, unaware that it hides a terrifying secret.","Einar Kuusk, Aouatefe Lahmani, Rebecca Ramon",Jérôme Cohen-Olivar,N/A,84 min,N/A
2018,Burn the Stage: The Movie,"Documentary, Music","A documentary following the worldwide famous music group BTS, as they tour the world and share their experience along with their beloved band friends and fans.","RM, Jin, j-hope",Park Jun-soo,N/A,84 min,N/A
2018,Pokémon the Movie: The Power of Us,"Animation, Action, Adventure","Ash meets five residents who come together to save the day when a series of threats endanger the annual Wind Festival and the entire population of their home, Fula City","Sarah Natochenny, Haven Burton Paschall, Eddy Lee",Tetsuo Yajima,Not Rated,100 min,N/A
2018,The Dunkirk Spirit: Behind the Making of the Movie,"Documentary, Short","Nominated for eight Academy Awards including Best Picture and Best Director, Dunkirk is Christopher Nolan's sweeping, emotional epic. Dunkirk opens as hundreds of thousands of British and Allied troops are surrounded by enemy forc...","Tom Hardy, Harry Styles, Fionn Whitehead",N/A,N/A,28 min,N/A
2018,Code Blue: The Movie,Drama,The 'helicopter doctor' team is back and ready to take on the disasters and accidents at Japan's Narita airport and points near and far. They work together through these professional emergencies and deal with their personal calami...,"Tomohisa Yamashita, Yui Aragaki, Erika Toda",N/A,N/A,127 min,N/A
2018,"Love, Chunibyo & Other Delusions the Movie: Take on Me","Animation, Comedy, Drama","Rikka's third year of high school is upended when Toka's job compels a move to Italy, potentially splitting her and Yuta. An elopement suggestion from friends launches a nationwide journey.","Jun Fukuyama, Maaya Uchida, Chinatsu Akasaki","Tatsuya Ishihara, Yasuhiro Takemoto",TV-14,94 min,N/A
2018,Natsume's Book of Friends the Movie: Ephemeral Bond,"Animation, Drama, Fantasy",An orphaned teen encounters a supernatural creature that has the ability to look human.,"Hiroshi Kamiya, Ayumi Fujimura, Kazuhiko Inoue","Hideki Itô, Takahiro Ômori",N/A,104 min,N/A
2018,Non Non Biyori: The Movie - Vacation,"Animation, Adventure, Comedy","Summer vacation is drawing to an end. When Suguru wins a free trip to Okinawa, all of the five students of Asahigaoka branch school are excited to end their vacation with a bang. Along with Hikage, Konomi, and their teacher and th...","Kotori Koiwai, Rie Murakawa, Ayane Sakura",Shin'ya Kawatsura,N/A,71 min,N/A
2018,Si Doel: The Movie,"Drama, Romance",Doel travels to the Netherlands to reunite with a woman who left him 14 years ago. Doel's new journey is started again.,"Rano Karno, Maudy Koesnaedi, Cornelia Agatha",Rano Karno,N/A,85 min,N/A
2019,The Lego Movie 2: The Second Part,"Animation, Action, Adventure","It's been five years since everything was awesome and the citizens are facing the huge new threat of Lego Duplo, invaders from outer space, wrecking everything faster than they can rebuild.","Chris Pratt, Elizabeth Banks, Will Arnett",Mike Mitchell,PG,107 min,65
2019,Between Two Ferns: The Movie,Comedy,Zach Galifianakis and his oddball crew take a road trip to complete a series of high-profile celebrity interviews.,"Zach Galifianakis, Matthew McConaughey, Rekha Shankar",Scott Aukerman,TV-MA,82 min,59
2019,The Angry Birds Movie 2,"Animation, Action, Adventure",The flightless birds and scheming green pigs take their feud to the next level.,"Jason Sudeikis, Josh Gad, Leslie Jones","Thurop Van Orman, John Rice",PG,97 min,60
2019,Deadwood: The Movie,"Drama, Western","As the residents of Deadwood gather to commemorate Dakota's statehood in 1889, saloon owner Al Swearengen and Marshal Seth Bullock clash with Senator George Hearst.","Timothy Olyphant, Ian McShane, Molly Parker",Daniel Minahan,TV-MA,110 min,N/A
2019,A Shaun the Sheep Movie: Farmageddon,"Animation, Adventure, Comedy","When an alien with amazing powers crash-lands near Mossy Bottom Farm, Shaun the Sheep goes on a mission to shepherd the intergalactic visitor home before a sinister organization can capture her.","Justin Fletcher, John Sparkes, Amalia Vitale","Will Becher, Richard Phelan",G,86 min,79
2019,Threat Level Midnight: The Movie,"Action, Comedy","After secret agent Michael Scarn (Steve Carell) is forced into retirement after the death of his wife Catherine Zeta-Scarn, the President of the United States of America (Craig Robinson) requests that he prevents Goldenface (John ...","Steve Carell, John Krasinski, Rainn Wilson",Tucker Gates,TV-14,25 min,N/A
2019,Steven Universe: The Movie,"Animation, Action, Adventure","Steven thinks his time defending the Earth is over, but when a new threat comes to Beach City, Steven faces his biggest challenge yet.","Zach Callison, Michaela Dietz, Estelle","Rebecca Sugar, Joseph D. Johnston, Kat Morris",TV-PG,82 min,N/A
2019,The Banana Splits Movie,"Comedy, Horror, Thriller",Young Harley is having a dream birthday; he and his family are going to watch the taping of his favourite show. But the dream becomes a nightmare when the animatronic stars turn homicidal.,"Dani Kind, Steve Lund, Celina Martin",Danishka Esterhazy,R,89 min,N/A
2019,Playmobil: The Movie,"Animation, Adventure, Comedy","When her younger brother Charlie unexpectedly disappears into the magical, animated universe of PLAYMOBIL®, unprepared Marla must go on a quest of a lifetime to bring him home, setting off on a fantastic journey across stunning ne...","Anya Taylor-Joy, Jim Gaffigan, Gabriel Bateman",Lino DiSalvo,PG,99 min,25
2019,Horrible Histories: The Movie - Rotten Romans,"Comedy, Family, History","Atti, a smart and quick-witted Roman teenager, manages to upset Emperor Nero with one of his schemes. For punishment, Atti is sent to work in a cold and wet Britain where he also meets the Celts.","Sebastian Croft, Emilia Jones, Nick Frost",Dominic Brigstocke,N/A,88 min,N/A
